"","x"
"1",-0.107497435412134
"2",-1.60631103340438
"3",1.62544803572636
"4",2.15063626296797
"5",-0.5254759889143
"6",-2.45995009340894
"7",15.970622573714
"8",-3.73195556911051
"9",6.53532711398326
"10",26.971329851834
"11",0.9382474881562
"12",-4.09376255063002
"13",0.405165124478352
"14",2.44162417079366
"15",12.1756419668238
"16",0.943700374307237
"17",-0.524038617251054
"18",28.2106636414758
"19",-0.689518881909963
"20",-2.8509151858114
"21",-3.11258527479155
"22",-2.74238221752484
"23",-2.01030373246894
"24",-3.0819441613989
"25",-0.520525042074236
"26",-2.35262634255336
"27",-2.75223848035851
"28",-2.68347279475505
"29",-2.71479837084448
"30",3.48401522714776
"31",4.44922170672795
"32",-1.8540637142166
"33",-2.28621064554218
"34",-3.25365303659853
"35",-1.05474817691339
"36",-1.05294575847852
"37",-1.51498089423029
"38",9.48878365060201
"39",-4.14635210116618
"40",-4.10804500556956
"41",-4.17493982646849
"42",5.2946243989479
"43",-0.173799055307179
"44",-2.30681297271535
"45",-2.13804728711188
"46",2.82699948450573
"47",12.7286193795548
"48",-2.93514972836217
"49",-4.03352983331311
"50",2.23884068916008
"51",-2.0291492720537
"52",-3.29796058850362
"53",-1.42887548697499
"54",-0.495108660600356
"55",3.70913500811969
"56",-3.68379221068021
"57",1.45027121619636
"58",3.95458333118609
"59",-4.04808607333136
"60",-3.92068475003682
"61",-2.46830053830969
"62",-4.10019649997978
"63",-1.59942077559009
"64",-3.07028548013036
"65",-2.6001280537101
"66",21.6429930961872
"67",19.9100019942023
"68",14.1785167101503
"69",17.4803419440084
"70",12.1470998723679
"71",10.6151126490049
"72",-3.3456676384694
"73",19.5546289620325
"74",20.9037049373919
"75",3.60331707519704
"76",-1.95787388989536
"77",-1.26629278106579
"78",-1.79978582236171
"79",-3.16494667109545
"80",-3.99433293621067
"81",-3.06042921729669
"82",-3.75892339936376
"83",-0.925681327723337
"84",-3.95584331722824
"85",-4.32319444659169
"86",10.5441566827718
"87",-1.78922228140803
"88",-3.149865676343
"89",-3.64936373703203
"90",-0.613429445450916
"91",-1.44678559420748
"92",-1.41329255291156
"93",4.28720938639941
"94",1.4547658545719
"95",0.423189308826975
"96",-2.94242784837129
"97",7.59206907154658
"98",-0.17525924239365
"99",12.5249232809922
"100",17.5917496556214
"101",15.2592833083707
"102",14.9258815287677
"103",-1.47681069117303
"104",-3.84169775482806
"105",-2.40774840506762
"106",4.29325547355433
"107",5.57062257371404
"108",-0.432845370616328
"109",0.131653830843859
"110",-2.66622433479611
"111",-1.19732175665329
"112",-3.8634180377393
"113",17.8721740224934
"114",22.8428562036479
"115",-3.82577258941624
"116",-2.00498773885726
"117",2.52909850344253
"118",8.36341289997459
"119",0.232064508461929
"120",-1.86658938156773
"121",2.86843229308433
"122",12.6724021767257
"123",0.904936970246096
"124",-3.79440138248035
"125",3.80614618767708
"126",14.1053020170177
"127",26.6386809811975
"128",-0.392439256082902
"129",0.408153944920977
"130",18.4088155921945
"131",-1.95753165854697
"132",-3.52385609386525
"133",-4.39011208291384
"134",-3.09118440780547
"135",0.37534536632184
"136",-2.09095625357321
"137",2.44703142609826
"138",-2.67605778220656
"139",19.5254936665728
"140",-4.00783966676052
"141",-0.641766201097741
"142",-2.57605778220656
"143",-2.77799709318078
"144",-3.81119353397476
"145",-2.87808835487369
"146",-0.546603070821669
"147",-0.615026525076743
"148",-2.72326289286137
"149",-1.69271304116162
"150",11.7724934384186
"151",15.3390460279691
"152",-3.92821383970143
"153",2.90272387419315
"154",10.5027695050396
"155",48.9678390920805
"156",-3.53357546415956
"157",1.93242955523355
"158",5.5308324756077
"159",-2.8690990781226
"160",-2.23763660949381
"161",46.1942821675995
"162",0.560287186992619
"163",-3.93880019607834
"164",-2.63934776623576
"165",-2.37471167223622
"166",1.52323493967343
"167",12.2205199043095
"168",-2.61390856933866
"169",7.15193674209187
"170",1.94395134396273
"171",-1.8052843393592
"172",-3.34048853739707
"173",-0.877244184214321
"174",-1.98783054059123
"175",-2.19049994510868
"176",-4.02472307994783
"177",-0.959972908832162
"178",6.3707594662534
"179",-0.931955569110509
"180",-4.59948922185977
"181",-3.96873403135099
"182",-2.970148587591
"183",3.19451032183177
"184",13.7946700297943
"185",4.39026665311171
"186",-3.01076004093346
